,PHRASE,COUNT,ON_TOPIC,UNIQUE,SPECIFIC
229,signing,1724,0,,
230,raised,5555,0,,
231,work,26921,0,,
232,religious,9326,0,,
233,could,62078,0,,
234,mean,11423,0,,
235,desire,2335,0,,
236,much,32889,0,,
237,got,17255,0,,
238,services,6111,0,,
239,based,16878,0,,
240,former,29906,0,,
241,back,41636,0,,
242,platform,3664,0,,
243,well,36246,0,,
244,go,29736,0,,
245,way,36486,0,,
246,million years ago,2160,0,,
247,Friday March,3925,0,,
248,Olympic Games,4011,0,,
249,competitions,4033,0,,
250,positive,15680,0,,
251,events,18747,0,,
252,closed,15230,0,,
253,skull,2104,0,,
254,first time since,5314,0,,
255,Six Nations,3007,0,,
256,senior,9460,0,,
257,man,18070,0,,
258,confirmed,13296,0,,
259,take part,2648,0,,
260,occupied,6960,0,,
261,middleweight,960,0,,
262,years,60943,0,,
263,privacy,2326,0,,
264,illustration,2403,0,,
265,Champions League,3144,0,,
266,Olympic Committee,3004,0,,
267,federal,10250,0,,
268,near,10938,0,,
269,discrimination,2430,0,,
270,entertainment,779,0,,
271,play,15208,0,,
272,tournaments,3008,0,,
273,groups,15975,0,,
274,wish,2269,0,,
275,racist,7344,0,,
276,approval,2646,0,,
277,occupation,6374,0,,
278,organising,3063,0,,
279,game,13085,0,,
280,information,14462,0,,
281,official,16210,0,,
282,investors,1390,0,,
283,points,6909,0,,
284,students,10074,0,,
285,title fight,3054,0,,
286,court,10840,0,,
287,star,4041,0,,
288,service,8159,0,,
289,saying,19645,0,,
290,report,20107,0,,
291,leaders,20436,0,,
292,hundred,1813,0,,
293,robot,1195,0,,
294,eligible,1044,0,,
295,event,16030,0,,
296,used,21942,0,,
297,country,44756,0,,
298,hate,7690,0,,
299,law,25006,0,,
300,becoming,5715,0,,
301,interests,8264,0,,
302,fact,18472,0,,
303,today,17031,0,,
304,big picture,229,0,,
305,dinosaur,1483,0,,
306,attack,20871,0,,
307,research,6440,0,,
308,conversations,2213,0,,
309,states,16637,0,,
310,accounts,3604,0,,
311,primary,6637,0,,
312,hottest,379,0,,
313,space,5277,0,,
314,racism,5547,0,,
315,wing,9352,0,,
316,gender,1607,0,,
317,ties,5870,0,,
